course_id,user_id
1304,2
1497,2
140,2
1480,2
513,2
1423,2
2,2
1582,2
1048,2
5,2
211,2
1539,2
2253,2
469,2
1996,2
1588,2
957,2
1825,2
1781,2
61,2
2008,2
737,2
7,2
1923,2
1609,2
1623,2
1298,2
1482,2
147,2
1677,2
138,2
1300,2
395,2
1517,2
516,2
1084,2
2432,2
35,2
1847,2
583,2
2140,2
2141,2
1154,2
2138,2
486,2
886,2
32,2
2205,2
1548,2
1704,2
950,2
520,2
2280,2
1047,2
1605,2
271,2
1175,2
122,2
580,2
1693,2
12,2
172,2
1144,2
2426,2
1604,2
1116,2
2101,2
1595,2
633,2
1916,2
1273,2
2443,2
1111,2
766,2
1914,2
1490,2
1881,2
2083,2
1883,2
1404,2
1745,2
421,2
325,2
457,2
2009,2
1668,2
2359,2
2245,2
1189,2
1946,2
320,2
206,2
11,2
1334,2
1533,2
2110,2
1622,2
668,2
687,2
2255,2
709,2
480,2
42,2
2444,2
1085,2
1793,2
1168,2
1857,2
831,2
387,2
1346,2
1409,2
1606,2
976,2
2160,2
345,2
848,2
862,2
2224,2
1892,2
829,2
461,2
1410,2
1184,2
105,2
397,2
1724,2
875,2
2484,2
1689,2
477,2
2207,2
444,2
229,2
314,2
356,2
817,2
534,2
1377,2
2274,2
1224,2
1730,2
1265,2
440,2
1921,2
1426,2
230,2
671,2
1626,2
1247,2
150,2
2181,2
501,2
638,2
2388,2
856,2
526,2
1855,2
1357,2
385,2
947,2
442,2
255,2
1435,2
2288,2
1512,2
1534,2
2438,2
1031,2
934,2
424,2
524,2
1600,2
2061,2
2360,2
599,2
36,2
184,2
398,2
1039,2
1848,2
1947,2
227,2
821,2
1889,2
907,2
1284,2
262,2
882,2
999,2
1607,2
1624,2
131,2
1549,2
1182,2
1905,2
1540,2
1060,2
1074,2
497,2
1109,2
1417,2
1664,2
2112,2
1713,2
2134,2
986,2
1744,2
1901,2
2193,2
1807,2
1772,2
1123,2
1462,2
2139,2
640,2
924,2
2404,2
2231,2
1108,2
339,2
1780,2
1927,2
41,2
1913,2
931,2
277,2
1382,2
972,2
2367,2
363,2
2349,2
2201,2
726,2
2154,2
1006,2
1073,2
1367,2
2227,2
1141,2
1642,2
1509,2
357,2
2023,2
718,2
1788,2
2017,2
1087,2
2330,2
464,2
70,2
978,2
1421,2
237,2
2029,2
1579,2
2447,2
511,2
1345,2
1457,2
1830,2
2416,2
1415,2
1174,2
2346,2
1511,2
754,2
725,2
1364,2
1950,2
1373,2
313,2
266,2
1272,2
2051,2
2150,2
1898,2
967,2
1281,2
2202,2
2022,2
1099,2
883,2
1501,2
2162,2
2165,2
1875,2
1504,2
1731,2
1714,2
2294,2
1049,2
191,2
1333,2
63,2
2135,2
1589,2
1764,2
112,2
1544,2
2425,2
2290,2
2433,2
467,2
1774,2
1306,2
141,2
560,2
48,2
1118,2
1026,2
1778,2
741,2
517,2
1712,2
1325,2
2203,2
1963,2
2269,2
336,2
1479,2
1688,2
1922,2
1721,2
1904,2
1576,2
2430,2
1408,2
1702,2
2155,2
1261,2
1801,2
1727,2
1227,2
1149,2
119,2
2012,2
1917,2
186,2
412,2
1280,2
280,2
1069,2
2152,2
225,2
1379,2
1254,2
636,2
909,2
1132,2
33,2
1033,2
2185,2
1986,2
994,2
2184,2
2095,2
1995,2
1257,2
1310,2
402,2
2188,2
2413,2
562,2
1861,2
2042,2
22,2
69,2
173,2
1742,2
454,2
966,2
1187,2
2459,2
1194,2
1213,2
2435,2
228,2
330,2
1370,2
622,2
2455,2
2370,2
1997,2
1554,2
210,2
658,2
2027,2
88,2
1674,2
52,2
470,2
2236,2
740,2
2295,2
1028,2
1563,2
1444,2
891,2
1650,2
2182,2
2313,2
629,2
1580,2
713,2
331,2
485,2
192,2
2028,2
2247,2
364,2
1262,2
317,2
1161,2
2331,2
2225,2
1009,2
2085,2
2296,2
1592,2
2084,2
2102,2
284,2
612,2
1416,2
1684,2
1984,2
928,2
703,2
1358,2
1656,2
1542,2
586,2
948,2
2250,2
2334,2
1887,2
1072,2
213,2
1975,2
2302,2
588,2
294,2
2196,2
904,2
1020,2
2077,2
26,2
1574,2
735,2
1003,2
2412,2
494,2
723,2
334,2
1910,2
522,2
